"data_ora";"C1";"C2";"C3";"C4";"C5"
2016-06-01 00:00:00;61.1;58.8;63.7;60.4;60.2
2016-06-01 01:00:00;57.2;56.1;60.4;57.7;58.4
2016-06-01 02:00:00;52.5;53.4;52.9;56.7;56.5
2016-06-01 03:00:00;50.6;46.6;45.7;47.9;55.6
2016-06-01 04:00:00;47.4;46.2;45.1;45.8;56.8
2016-06-01 05:00:00;50.8;50.6;49.9;50.7;56.2
2016-06-01 06:00:00;56.2;54.9;48.4;54.3;60.4
2016-06-01 07:00:00;61.4;62.5;NA;61.6;65.1
2016-06-01 08:00:00;62.7;64.6;NA;61.8;66
2016-06-01 09:00:00;69;64.4;NA;63.5;67.2
2016-06-01 10:00:00;61.4;63;NA;63.6;64.9
2016-06-01 11:00:00;64.6;63.1;NA;62.9;65.6
2016-06-01 12:00:00;63.3;63.7;NA;63.6;66.3
2016-06-01 13:00:00;62.7;62.1;NA;62.1;64.6
2016-06-01 14:00:00;64;62.1;NA;61.8;65
2016-06-01 15:00:00;63.6;62.5;NA;62.5;65.8
2016-06-01 16:00:00;65.2;67.7;NA;65;66.4
2016-06-01 17:00:00;64.6;64.4;NA;63.5;66.5
2016-06-01 18:00:00;64.1;63.7;NA;62.1;65.1
2016-06-01 19:00:00;64.8;63.3;NA;63.3;65
2016-06-01 20:00:00;63.5;63.4;NA;63.3;64.5
2016-06-01 21:00:00;62.8;61.5;62;63.5;63
2016-06-01 22:00:00;64.4;63.2;67.3;63.8;63.1
2016-06-01 23:00:00;69.1;63.2;72.5;64.9;63.1
2016-06-02 00:00:00;70;63.7;74.5;66.5;62.7
2016-06-02 01:00:00;70.8;61.5;71.1;65;62.3
2016-06-02 02:00:00;64.2;59.6;68;62.8;58.8
2016-06-02 03:00:00;59.8;56.2;61;58.6;57.7
2016-06-02 04:00:00;50.7;56;50;53.8;54.8
2016-06-02 05:00:00;51.9;53.8;49;52;57.1
2016-06-02 06:00:00;55.8;55;47.9;58;56.9
2016-06-02 07:00:00;63.3;61.2;NA;61.3;59.9
2016-06-02 08:00:00;63.2;59;NA;63.1;60.7
2016-06-02 09:00:00;65.8;62;NA;58;61.8
2016-06-02 10:00:00;62.1;59.6;NA;59.9;61.5
2016-06-02 11:00:00;61.4;59.6;NA;59.9;62.8
2016-06-02 12:00:00;60.4;60.2;NA;59.8;62.1
2016-06-02 13:00:00;62.5;59.3;NA;58.9;62.3
2016-06-02 14:00:00;60.5;59.4;NA;59.1;63
2016-06-02 15:00:00;61.4;59.6;NA;60.4;62.8
2016-06-02 16:00:00;61.4;60.2;NA;58.2;63.8
2016-06-02 17:00:00;62.6;61.6;NA;60.4;66.9
2016-06-02 18:00:00;62.8;61.3;NA;60.5;64.4
2016-06-02 19:00:00;62.3;61.1;NA;60.9;63.6
2016-06-02 20:00:00;62.7;61.5;NA;62.3;62.5
2016-06-02 21:00:00;62.2;60.1;59.6;61.6;62
2016-06-02 22:00:00;62.5;58.9;64.3;61.2;62.2
2016-06-02 23:00:00;63.6;59.9;68.2;62;61.1
2016-06-03 00:00:00;65.5;61.7;69;62.8;61.2
2016-06-03 01:00:00;62.1;61.5;64.4;61.6;60.5
2016-06-03 02:00:00;57.8;56.1;60.1;57.2;57
2016-06-03 03:00:00;47.8;53.9;47.2;53.3;55.4
2016-06-03 04:00:00;47.1;50.9;45.6;48.8;57.2
2016-06-03 05:00:00;55.4;57.4;53.2;55.3;58.1
