Data;Ora;μg/m3
01/05/2016;00.01.00;0,94
01/05/2016;00.01.52;1,01
01/05/2016;00.02.52;0,99
01/05/2016;00.03.52;0,96
01/05/2016;00.04.52;0,95
01/05/2016;00.05.52;1,06
01/05/2016;00.06.52;0,90
01/05/2016;00.07.53;1,01
01/05/2016;00.08.52;0,96
01/05/2016;00.09.52;1,00
01/05/2016;00.10.52;1,00
01/05/2016;00.11.52;0,97
01/05/2016;00.12.52;0,91
01/05/2016;00.13.52;0,81
01/05/2016;00.14.52;0,74
01/05/2016;00.15.52;0,99
01/05/2016;00.16.52;0,87
01/05/2016;00.17.52;0,83
01/05/2016;00.18.52;0,92
01/05/2016;00.19.52;0,91
01/05/2016;00.20.52;0,96
01/05/2016;00.21.52;0,94
01/05/2016;00.22.52;0,94
01/05/2016;00.23.52;0,92
01/05/2016;00.24.52;0,91
01/05/2016;00.25.52;1,03
01/05/2016;00.26.52;0,90
01/05/2016;00.27.52;1,01
01/05/2016;00.28.52;1,05
01/05/2016;00.29.52;0,96
01/05/2016;00.30.52;0,90
01/05/2016;00.31.52;0,81
01/05/2016;00.32.52;0,89
01/05/2016;00.33.52;1,02
01/05/2016;00.34.52;0,91
01/05/2016;00.35.52;0,96
01/05/2016;00.36.52;0,85
01/05/2016;00.37.52;1,00
01/05/2016;00.38.52;0,94
01/05/2016;00.39.52;0,85
01/05/2016;00.40.52;0,92
01/05/2016;00.41.52;0,93
01/05/2016;00.42.52;0,97
01/05/2016;00.43.52;0,99
01/05/2016;00.44.52;0,85
01/05/2016;00.45.52;1,01
01/05/2016;00.46.52;0,91
01/05/2016;00.47.52;0,96
01/05/2016;00.48.52;0,92
01/05/2016;00.49.52;0,84
01/05/2016;00.50.52;0,90
01/05/2016;00.51.52;0,87
01/05/2016;00.52.52;0,92
01/05/2016;00.53.52;1,01
01/05/2016;00.54.52;0,93
01/05/2016;00.55.52;0,94
01/05/2016;00.56.52;0,87
01/05/2016;00.57.52;1,02
01/05/2016;00.58.52;0,98
01/05/2016;00.59.52;0,89
01/05/2016;01.00.52;0,85
01/05/2016;01.01.52;0,89
01/05/2016;01.02.52;0,80
01/05/2016;01.03.52;0,89
01/05/2016;01.04.52;0,84
01/05/2016;01.05.52;0,84
01/05/2016;01.06.52;0,84
01/05/2016;01.07.52;0,90
01/05/2016;01.08.52;0,91
01/05/2016;01.09.52;0,87
01/05/2016;01.10.52;0,90
01/05/2016;01.11.53;0,90
01/05/2016;01.12.52;0,89
01/05/2016;01.13.52;0,84
01/05/2016;01.14.52;0,85
01/05/2016;01.15.52;0,98
01/05/2016;01.16.52;0,95
01/05/2016;01.17.52;0,80
01/05/2016;01.18.52;0,86
01/05/2016;01.19.52;0,78
01/05/2016;01.20.52;0,76
01/05/2016;01.21.52;0,86
01/05/2016;01.22.52;0,90
01/05/2016;01.23.52;0,76
01/05/2016;01.24.52;0,87
01/05/2016;01.25.52;0,93
01/05/2016;01.26.52;0,73
01/05/2016;01.27.52;0,90
01/05/2016;01.28.52;0,91
01/05/2016;01.29.52;0,77
01/05/2016;01.30.52;0,82
01/05/2016;01.31.52;0,76
01/05/2016;01.32.52;0,91
01/05/2016;01.33.52;0,92
01/05/2016;01.34.52;0,82
01/05/2016;01.35.52;0,88
01/05/2016;01.36.52;0,90
01/05/2016;01.37.52;0,70
01/05/2016;01.38.52;0,82
01/05/2016;01.39.52;0,81
01/05/2016;01.40.52;0,85
01/05/2016;01.41.52;0,76
01/05/2016;01.42.52;0,82
01/05/2016;01.43.52;0,83
01/05/2016;01.44.52;0,78
01/05/2016;01.45.52;0,86
01/05/2016;01.46.52;0,82
01/05/2016;01.47.52;0,80
01/05/2016;01.48.52;0,82
01/05/2016;01.49.52;0,75
01/05/2016;01.50.52;0,76
01/05/2016;01.51.52;0,80
01/05/2016;01.52.52;0,78
01/05/2016;01.53.52;0,82
01/05/2016;01.54.52;0,75
01/05/2016;01.55.52;0,76
01/05/2016;01.56.52;0,85
01/05/2016;01.57.52;0,82
01/05/2016;01.58.52;0,75
01/05/2016;01.59.52;0,87
01/05/2016;02.00.52;0,75
01/05/2016;02.01.52;0,87
01/05/2016;02.02.52;0,86
01/05/2016;02.03.52;0,78
01/05/2016;02.04.52;0,77
01/05/2016;02.05.53;0,80
01/05/2016;02.06.52;0,78
01/05/2016;02.07.52;0,75
01/05/2016;02.08.52;0,82
01/05/2016;02.09.53;0,82
01/05/2016;02.10.52;0,82
01/05/2016;02.11.52;0,84
01/05/2016;02.12.52;0,73
01/05/2016;02.13.52;0,86
01/05/2016;02.14.52;0,75
01/05/2016;02.15.52;0,90
01/05/2016;02.16.52;0,75
01/05/2016;02.17.52;0,86
01/05/2016;02.18.52;0,89
01/05/2016;02.19.52;0,84
01/05/2016;02.20.52;0,84
01/05/2016;02.21.52;0,81
01/05/2016;02.22.52;0,91
01/05/2016;02.23.52;0,78
01/05/2016;02.24.52;0,83
01/05/2016;02.25.52;0,82
01/05/2016;02.26.52;0,76
01/05/2016;02.27.53;0,68
01/05/2016;02.28.53;0,82
01/05/2016;02.29.52;0,87
01/05/2016;02.30.52;0,85
01/05/2016;02.31.52;0,80
01/05/2016;02.32.52;0,77
01/05/2016;02.33.52;0,75
01/05/2016;02.34.52;0,86
01/05/2016;02.35.52;0,83
01/05/2016;02.36.52;0,82
01/05/2016;02.37.53;0,78
01/05/2016;02.38.52;0,95
01/05/2016;02.39.52;0,82
01/05/2016;02.40.52;0,81
01/05/2016;02.41.52;0,91
01/05/2016;02.42.52;0,84
01/05/2016;02.43.52;0,86
01/05/2016;02.44.52;0,80
01/05/2016;02.45.52;0,82
01/05/2016;02.46.52;0,95
01/05/2016;02.47.52;0,94
01/05/2016;02.48.52;0,84
01/05/2016;02.49.52;0,81
01/05/2016;02.50.52;0,86
01/05/2016;02.51.52;0,78
01/05/2016;02.52.52;0,86
01/05/2016;02.53.52;0,85
01/05/2016;02.54.52;0,92
01/05/2016;02.55.52;0,85
01/05/2016;02.56.52;0,89
01/05/2016;02.57.52;0,79
01/05/2016;02.58.52;0,86
01/05/2016;02.59.52;0,86
01/05/2016;03.00.52;0,75
01/05/2016;03.01.52;0,76
01/05/2016;03.02.53;0,80
01/05/2016;03.03.52;0,88
01/05/2016;03.04.52;0,85
01/05/2016;03.05.52;0,81
01/05/2016;03.06.53;0,78
01/05/2016;03.07.52;0,86
01/05/2016;03.08.53;0,89
01/05/2016;03.09.52;0,75
01/05/2016;03.10.52;0,86
01/05/2016;03.11.52;0,89
01/05/2016;03.12.53;0,90
01/05/2016;03.13.52;0,82
01/05/2016;03.14.52;0,74
01/05/2016;03.15.52;0,86
01/05/2016;03.16.53;0,76
01/05/2016;03.17.52;0,79
01/05/2016;03.18.53;0,80
01/05/2016;03.19.52;0,82
01/05/2016;03.20.52;0,76
01/05/2016;03.21.52;0,70
01/05/2016;03.22.52;0,80
01/05/2016;03.23.52;0,86
01/05/2016;03.24.52;0,88
01/05/2016;03.25.52;0,83
01/05/2016;03.26.52;0,77
01/05/2016;03.27.52;0,62
01/05/2016;03.28.52;0,73
01/05/2016;03.29.52;0,86
01/05/2016;03.30.52;0,81
01/05/2016;03.31.52;0,82
01/05/2016;03.32.52;0,88
01/05/2016;03.33.53;0,76
01/05/2016;03.34.52;0,96
01/05/2016;03.35.52;0,76
01/05/2016;03.36.52;0,73
01/05/2016;03.37.52;0,89
01/05/2016;03.38.52;0,76
01/05/2016;03.39.52;0,86
01/05/2016;03.40.52;0,79
01/05/2016;03.41.52;0,80
01/05/2016;03.42.52;0,82
01/05/2016;03.43.53;0,88
01/05/2016;03.44.52;0,84
01/05/2016;03.45.52;0,87
01/05/2016;03.46.53;0,78
01/05/2016;03.47.53;0,81
01/05/2016;03.48.52;0,95
01/05/2016;03.49.52;0,82
01/05/2016;03.50.52;0,87
01/05/2016;03.51.53;0,82
01/05/2016;03.52.52;0,79
01/05/2016;03.53.52;0,79
01/05/2016;03.54.52;0,91
01/05/2016;03.55.52;0,85
01/05/2016;03.56.52;0,87
01/05/2016;03.57.52;0,88
