cod;progr;stazione;quota;data;ora;parametro;codice
002074;900;MASSAZZA;226;22-DEC-16;0.00;282;DIRV
002074;900;MASSAZZA;226;22-DEC-16;0.00;2,2;VELV
002074;900;MASSAZZA;226;22-DEC-16;0.10;283;DIRV
002074;900;MASSAZZA;226;22-DEC-16;0.10;1,7;VELV
002074;900;MASSAZZA;226;22-DEC-16;0.20;289;DIRV
002074;900;MASSAZZA;226;22-DEC-16;0.20;2,4;VELV
002074;900;MASSAZZA;226;22-DEC-16;0.30;304;DIRV
002074;900;MASSAZZA;226;22-DEC-16;0.30;2;VELV
002074;900;MASSAZZA;226;22-DEC-16;0.40;297;DIRV
002074;900;MASSAZZA;226;22-DEC-16;0.40;1,3;VELV
002074;900;MASSAZZA;226;22-DEC-16;0.50;289;DIRV
002074;900;MASSAZZA;226;22-DEC-16;0.50;2,5;VELV
002074;900;MASSAZZA;226;22-DEC-16;1.00;280;DIRV
002074;900;MASSAZZA;226;22-DEC-16;1.00;2,1;VELV
002074;900;MASSAZZA;226;22-DEC-16;1.10;280;DIRV
002074;900;MASSAZZA;226;22-DEC-16;1.10;2,6;VELV
002074;900;MASSAZZA;226;22-DEC-16;1.20;300;DIRV
002074;900;MASSAZZA;226;22-DEC-16;1.20;2,2;VELV
002074;900;MASSAZZA;226;22-DEC-16;1.30;304;DIRV
002074;900;MASSAZZA;226;22-DEC-16;1.30;2,3;VELV
002074;900;MASSAZZA;226;22-DEC-16;1.40;308;DIRV
002074;900;MASSAZZA;226;22-DEC-16;1.40;2,2;VELV
002074;900;MASSAZZA;226;22-DEC-16;1.50;298;DIRV
002074;900;MASSAZZA;226;22-DEC-16;1.50;2,4;VELV
002074;900;MASSAZZA;226;22-DEC-16;2.00;289;DIRV
002074;900;MASSAZZA;226;22-DEC-16;2.00;2,4;VELV
002074;900;MASSAZZA;226;22-DEC-16;2.10;284;DIRV
002074;900;MASSAZZA;226;22-DEC-16;2.10;2,4;VELV
002074;900;MASSAZZA;226;22-DEC-16;2.20;307;DIRV
002074;900;MASSAZZA;226;22-DEC-16;2.20;2,2;VELV
002074;900;MASSAZZA;226;22-DEC-16;2.30;288;DIRV
002074;900;MASSAZZA;226;22-DEC-16;2.30;1,5;VELV
002074;900;MASSAZZA;226;22-DEC-16;2.40;270;DIRV
